transport_mode,origin_port,destination_region,cargo_type,season,carrier_reliability,customs_complexity,lead_time_days,shipment_weight_kg,distance_km,port_congestion_idx,weather_severity,customs_days,documentation_errors,is_delayed,delay_hours,base_cost_nzd,delay_cost_nzd,total_cost_nzd
Rail,Port of Auckland,Dunedin,General Merchandise,Winter,Medium,Moderate,12.7,89.6,430.0,2.18,0.87,0.2,0,1,10.8,161.36,486.9,648.27
Road,Port of Auckland,Wellington,Automotive,Autumn,High,Complex,15.8,253.3,2250.0,1.18,2.86,2.6,1,0,0.0,531.83,0.0,531.83
Air Cargo,Port of Tauranga,Christchurch,Refrigerated,Winter,Low,Simple,10.0,374.6,1588.0,6.85,0.82,2.2,0,0,0.0,3183.98,0.0,3183.98
Rail,Lyttelton Port,Wellington,Bulk,Spring,High,Moderate,21.8,835.0,1594.0,5.24,3.07,1.0,0,0,0.0,1503.01,0.0,1503.01
Sea Freight,Port of Tauranga,Wellington,General Merchandise,Summer,Low,Moderate,19.8,1068.5,2139.0,3.35,6.72,1.4,0,1,103.3,1282.16,4814.24,6096.4
Sea Freight,Port of Auckland,Hamilton,Bulk,Summer,High,Simple,28.4,117.1,1042.0,0.5,1.62,1.1,3,0,0.0,140.52,0.0,140.52
Sea Freight,Port of Tauranga,Christchurch,General Merchandise,Spring,Medium,Moderate,18.5,85.6,1851.0,1.38,1.87,6.1,1,1,28.7,102.66,1646.02,1748.68
Sea Freight,Port of Auckland,Wellington,Refrigerated,Winter,High,Moderate,19.4,1333.5,1686.0,1.03,1.4,1.6,0,0,0.0,1600.22,0.0,1600.22
Sea Freight,Wellington Port,Auckland,General Merchandise,Autumn,High,Moderate,19.2,1046.3,1940.0,5.22,4.18,0.5,0,1,31.6,1255.56,1471.34,2726.89
Sea Freight,Wellington Port,Auckland,General Merchandise,Winter,Medium,Simple,11.6,1474.9,1667.0,4.61,2.89,0.4,1,1,36.8,1769.87,2089.03,3858.9
Road,Port of Tauranga,Christchurch,General Merchandise,Winter,Medium,Moderate,17.0,952.9,246.0,3.3,4.26,0.6,0,0,0.0,2001.17,0.0,2001.17
Sea Freight,Port of Auckland,Auckland,General Merchandise,Spring,High,Simple,13.5,1162.3,767.0,2.1,2.82,1.5,0,0,0.0,1394.74,0.0,1394.74
Sea Freight,Lyttelton Port,Auckland,General Merchandise,Spring,Medium,Moderate,17.6,431.2,2353.0,2.81,2.56,2.0,1,1,25.7,517.43,1523.01,2040.44
Air Cargo,Port of Auckland,Christchurch,Bulk,Autumn,High,Simple,18.7,763.6,597.0,1.88,2.18,0.0,0,0,0.0,6490.92,0.0,6490.92
Sea Freight,Port of Tauranga,Hamilton,General Merchandise,Autumn,High,Simple,20.7,1359.4,1207.0,3.83,3.47,0.6,0,0,0.0,1631.3,0.0,1631.3
Road,Port of Auckland,Hamilton,Bulk,Winter,Low,Simple,19.2,201.1,924.0,1.82,0.88,2.0,1,0,0.0,422.33,0.0,422.33
Sea Freight,Wellington Port,Christchurch,General Merchandise,Autumn,Low,Moderate,19.4,489.7,261.0,1.65,2.17,2.1,0,0,0.0,587.62,0.0,587.62
Rail,Port of Auckland,Dunedin,Pharmaceuticals,Winter,Medium,Complex,13.8,1129.2,494.0,3.36,0.18,2.9,1,0,0.0,2032.5,0.0,2032.5
Road,Port of Tauranga,Tauranga,Pharmaceuticals,Autumn,High,Simple,40.7,658.5,752.0,1.91,0.85,1.4,0,0,0.0,1382.89,0.0,1382.89
Sea Freight,Lyttelton Port,Hamilton,General Merchandise,Summer,High,Simple,18.9,965.7,1185.0,1.58,4.16,0.1,0,0,0.0,1158.84,0.0,1158.84
Sea Freight,Port of Tauranga,Christchurch,Bulk,Autumn,Low,Simple,16.1,327.2,2193.0,0.36,5.1,0.4,0,0,0.0,392.68,0.0,392.68
Road,Port of Auckland,Wellington,General Merchandise,Winter,High,Moderate,24.1,76.3,1313.0,1.39,1.01,1.6,0,0,0.0,160.23,0.0,160.23
Road,Wellington Port,Tauranga,Pharmaceuticals,Spring,Low,Simple,14.3,73.7,1647.0,2.85,2.01,4.6,0,0,0.0,154.69,0.0,154.69
Road,Port of Tauranga,Auckland,Hazardous,Autumn,High,Simple,9.4,2338.7,1094.0,4.75,1.07,1.8,1,1,29.3,4911.27,1849.8,6761.07
Road,Lyttelton Port,Auckland,General Merchandise,Summer,Low,Moderate,12.3,2363.7,2182.0,1.86,3.72,0.4,0,0,0.0,4963.72,0.0,4963.72
Sea Freight,Port of Auckland,Wellington,Refrigerated,Autumn,High,Simple,10.7,239.9,1673.0,2.32,1.04,2.0,0,0,0.0,287.85,0.0,287.85
Sea Freight,Port of Tauranga,Auckland,General Merchandise,Spring,High,Simple,17.8,177.6,272.0,1.81,1.05,3.8,3,0,0.0,213.16,0.0,213.16
Sea Freight,Port of Tauranga,Tauranga,Refrigerated,Autumn,Medium,Simple,21.6,64.6,1220.0,2.73,5.7,1.8,0,1,15.8,77.57,1189.05,1266.63
Road,Port of Auckland,Christchurch,Bulk,Winter,Low,Moderate,10.3,260.4,2077.0,5.04,3.65,3.3,0,0,0.0,546.84,0.0,546.84
Air Cargo,Port of Auckland,Christchurch,Refrigerated,Winter,Low,Complex,19.7,375.6,1847.0,4.06,0.54,0.8,1,0,0.0,3192.56,0.0,3192.56
Sea Freight,Port Otago,Christchurch,Refrigerated,Summer,Medium,Moderate,19.2,270.9,2268.0,3.74,0.66,1.0,0,0,0.0,325.03,0.0,325.03
Sea Freight,Port of Auckland,Wellington,General Merchandise,Spring,Medium,Simple,27.8,1327.2,608.0,3.45,2.84,0.4,0,0,0.0,1592.59,0.0,1592.59
Sea Freight,Port of Auckland,Auckland,General Merchandise,Summer,Medium,Moderate,23.1,1157.2,2444.0,4.75,1.88,4.8,1,1,56.1,1388.66,2974.13,4362.79
Sea Freight,Port of Tauranga,Christchurch,General Merchandise,Winter,Medium,Simple,12.3,117.6,748.0,1.18,1.79,0.6,0,0,0.0,141.11,0.0,141.11
Road,Lyttelton Port,Hamilton,Automotive,Summer,Low,Moderate,13.8,1006.1,173.0,3.38,2.1,1.6,0,0,0.0,2112.74,0.0,2112.74
Air Cargo,Port of Auckland,Wellington,General Merchandise,Summer,Medium,Moderate,14.3,638.2,1264.0,1.7,0.4,2.3,0,0,0.0,5424.28,0.0,5424.28
Road,Port of Tauranga,Hamilton,Hazardous,Winter,Medium,Complex,26.2,163.4,320.0,1.28,2.18,1.0,1,0,0.0,343.15,0.0,343.15
Air Cargo,Port of Auckland,Auckland,Refrigerated,Autumn,Medium,Simple,28.6,1126.2,1719.0,2.85,6.02,4.4,1,1,16.6,9572.96,1790.34,11363.31
Sea Freight,Port of Auckland,Auckland,General Merchandise,Winter,Medium,Moderate,18.9,122.0,2256.0,2.34,0.33,1.8,0,0,0.0,146.38,0.0,146.38
Road,Port of Auckland,Auckland,Bulk,Winter,Low,Moderate,9.7,206.0,2307.0,1.26,2.25,1.6,0,0,0.0,432.57,0.0,432.57
Road,Port Otago,Wellington,Refrigerated,Winter,High,Simple,15.0,179.3,1537.0,3.58,5.6,3.1,0,1,69.6,376.5,5253.13,5629.63
Air Cargo,Port of Auckland,Dunedin,Refrigerated,Autumn,High,Moderate,33.6,2287.9,1361.0,4.19,2.5,5.8,0,1,25.9,19447.52,2572.33,22019.84
Road,Port of Auckland,Dunedin,Hazardous,Winter,Medium,Complex,16.3,1008.3,2485.0,1.58,2.62,1.7,0,0,0.0,2117.38,0.0,2117.38
Air Cargo,Port of Tauranga,Wellington,Refrigerated,Winter,High,Complex,6.7,473.9,1470.0,3.6,4.94,1.4,1,0,0.0,4027.74,0.0,4027.74
Air Cargo,Port Otago,Christchurch,Refrigerated,Autumn,Medium,Moderate,15.7,1431.7,2322.0,2.51,3.34,3.7,2,1,16.3,12169.41,2166.26,14335.67
Sea Freight,Port of Auckland,Hamilton,Hazardous,Winter,Low,Simple,24.7,244.6,2296.0,1.45,1.28,4.0,0,0,0.0,293.56,0.0,293.56
Sea Freight,Port of Tauranga,Auckland,Bulk,Spring,Medium,Complex,8.9,2190.0,759.0,1.4,2.97,0.2,0,0,0.0,2628.0,0.0,2628.0
Sea Freight,Port of Auckland,Auckland,General Merchandise,Summer,Low,Moderate,9.8,1005.2,84.0,4.03,3.13,1.6,1,1,32.0,1206.25,1835.93,3042.18
Sea Freight,Port of Tauranga,Tauranga,Refrigerated,Spring,High,Simple,25.8,706.0,1126.0,1.39,1.82,1.0,0,0,0.0,847.23,0.0,847.23
Air Cargo,Port of Tauranga,Christchurch,General Merchandise,Summer,Low,Simple,20.1,1316.4,2160.0,3.11,1.68,0.5,0,0,0.0,11189.62,0.0,11189.62
Sea Freight,Port of Tauranga,Tauranga,General Merchandise,Autumn,Medium,Simple,19.8,878.0,2099.0,1.66,0.69,0.2,1,1,43.7,1053.62,2375.08,3428.7
Air Cargo,Port of Auckland,Wellington,Hazardous,Autumn,High,Simple,8.4,1795.1,1529.0,3.07,1.67,1.9,0,0,0.0,15258.08,0.0,15258.08
Rail,Port of Auckland,Hamilton,Automotive,Winter,Medium,Moderate,12.7,1463.6,434.0,2.41,1.71,0.5,0,0,0.0,2634.46,0.0,2634.46
Sea Freight,Port of Auckland,Auckland,Automotive,Summer,Low,Simple,19.1,226.3,314.0,1.24,3.41,4.7,0,0,0.0,271.62,0.0,271.62
Sea Freight,Port of Tauranga,Auckland,General Merchandise,Spring,High,Simple,10.6,269.2,2389.0,1.85,3.45,6.4,1,1,31.5,323.03,1779.66,2102.69
Road,Port of Auckland,Christchurch,Refrigerated,Spring,Medium,Simple,18.6,103.9,1082.0,2.11,2.03,2.9,2,0,0.0,218.09,0.0,218.09
Sea Freight,Lyttelton Port,Wellington,Hazardous,Winter,Low,Simple,10.7,249.0,1638.0,2.57,1.29,3.0,1,1,36.9,298.77,2023.16,2321.93
Sea Freight,Wellington Port,Auckland,General Merchandise,Autumn,High,Simple,9.4,386.7,2269.0,5.32,0.77,2.5,0,0,0.0,463.98,0.0,463.98
Sea Freight,Wellington Port,Auckland,Bulk,Spring,Medium,Simple,18.8,73.4,2181.0,1.03,1.28,0.8,2,1,35.8,88.08,2313.7,2401.78
Sea Freight,Port Otago,Auckland,Bulk,Spring,Medium,Simple,16.3,352.6,1439.0,6.0,2.55,2.1,0,0,0.0,423.15,0.0,423.15
Rail,Lyttelton Port,Hamilton,Automotive,Autumn,High,Moderate,15.0,1231.1,1245.0,4.98,2.4,0.4,0,0,0.0,2216.04,0.0,2216.04
Road,Lyttelton Port,Wellington,General Merchandise,Winter,Medium,Simple,15.6,1517.7,1851.0,3.61,3.48,4.5,1,1,60.7,3187.18,3322.67,6509.85
Air Cargo,Port of Auckland,Auckland,General Merchandise,Winter,High,Moderate,15.6,57.1,907.0,0.66,2.07,2.5,0,0,0.0,485.61,0.0,485.61
Road,Lyttelton Port,Auckland,Automotive,Winter,Medium,Simple,8.7,55.7,1582.0,0.99,2.46,2.9,1,0,0.0,117.05,0.0,117.05
Road,Port of Tauranga,Auckland,Bulk,Autumn,High,Simple,21.5,176.5,107.0,2.68,0.43,5.2,0,0,0.0,370.75,0.0,370.75
Sea Freight,Port of Tauranga,Christchurch,Automotive,Autumn,High,Simple,25.2,1698.2,2070.0,1.95,1.83,2.6,1,0,0.0,2037.83,0.0,2037.83
Road,Lyttelton Port,Auckland,General Merchandise,Summer,Medium,Simple,29.7,556.8,2495.0,1.55,1.43,3.8,0,0,0.0,1169.31,0.0,1169.31
Air Cargo,Port of Auckland,Hamilton,Hazardous,Autumn,High,Simple,17.6,3305.0,2389.0,2.85,1.22,4.6,0,0,0.0,28092.83,0.0,28092.83
Road,Port of Auckland,Auckland,Hazardous,Winter,High,Simple,9.4,1796.6,932.0,1.07,2.4,2.5,0,1,10.8,3772.95,538.7,4311.65
Road,Wellington Port,Auckland,General Merchandise,Spring,Low,Simple,21.3,1816.8,1351.0,3.18,5.56,1.7,0,0,0.0,3815.18,0.0,3815.18
Sea Freight,Port of Auckland,Dunedin,Hazardous,Spring,Low,Moderate,16.7,160.0,629.0,6.12,3.78,1.5,1,0,0.0,192.01,0.0,192.01
Sea Freight,Port of Tauranga,Hamilton,Bulk,Winter,Low,Simple,17.2,565.8,792.0,2.74,1.72,2.1,0,1,60.6,679.0,2776.48,3455.48
Sea Freight,Port Otago,Auckland,General Merchandise,Winter,Medium,Complex,11.5,4090.0,1170.0,6.27,2.4,3.7,1,1,48.0,4907.99,2806.89,7714.88
Sea Freight,Lyttelton Port,Dunedin,General Merchandise,Summer,Low,Moderate,18.5,179.1,1880.0,0.53,2.97,7.6,0,0,0.0,214.94,0.0,214.94
Road,Port of Tauranga,Wellington,Bulk,Winter,Low,Moderate,21.6,733.1,94.0,2.75,1.59,1.1,1,0,0.0,1539.49,0.0,1539.49
Road,Port of Auckland,Dunedin,Refrigerated,Summer,Medium,Simple,16.7,387.6,1015.0,2.26,4.02,1.9,0,0,0.0,814.0,0.0,814.0
Sea Freight,Port of Auckland,Christchurch,Automotive,Autumn,High,Moderate,13.3,442.6,1413.0,3.73,1.69,2.0,0,0,0.0,531.16,0.0,531.16
Air Cargo,Port Otago,Hamilton,Refrigerated,Winter,High,Simple,13.7,1821.6,577.0,1.92,4.57,6.0,0,0,0.0,15483.64,0.0,15483.64
Sea Freight,Port of Tauranga,Tauranga,General Merchandise,Autumn,Medium,Simple,17.3,759.2,242.0,2.37,3.13,1.4,0,0,0.0,911.04,0.0,911.04
Sea Freight,Port of Tauranga,Auckland,Pharmaceuticals,Summer,Low,Simple,13.5,1187.6,1372.0,2.27,2.66,1.0,1,1,32.9,1425.15,4515.58,5940.73
Sea Freight,Port of Auckland,Christchurch,Automotive,Spring,Medium,Complex,10.4,944.8,1613.0,2.97,2.25,2.1,0,0,0.0,1133.77,0.0,1133.77
Sea Freight,Port of Auckland,Wellington,General Merchandise,Autumn,Medium,Simple,21.1,652.3,1620.0,1.17,3.51,0.8,0,0,0.0,782.81,0.0,782.81
Rail,Wellington Port,Auckland,Bulk,Summer,High,Complex,16.0,1305.1,924.0,1.92,1.8,0.8,0,0,0.0,2349.11,0.0,2349.11
Sea Freight,Port of Tauranga,Auckland,General Merchandise,Summer,High,Simple,16.8,2875.0,632.0,3.14,0.91,0.7,2,0,0.0,3450.04,0.0,3450.04
Air Cargo,Lyttelton Port,Auckland,General Merchandise,Autumn,Medium,Complex,12.5,2774.6,590.0,1.92,2.05,1.5,0,0,0.0,23584.4,0.0,23584.4
Road,Port of Auckland,Christchurch,General Merchandise,Summer,Low,Complex,10.4,1296.4,149.0,8.44,4.47,2.4,0,1,26.1,2722.51,1263.25,3985.76
Sea Freight,Lyttelton Port,Christchurch,General Merchandise,Spring,High,Complex,11.8,584.5,502.0,1.43,0.66,3.4,0,1,22.2,701.4,1018.46,1719.86
Rail,Wellington Port,Christchurch,Automotive,Autumn,Low,Simple,13.0,192.5,2056.0,2.16,2.9,1.6,0,1,6.4,346.49,292.34,638.84
Rail,Port of Tauranga,Auckland,Bulk,Spring,High,Complex,10.2,86.4,57.0,0.92,2.2,5.6,1,1,54.4,155.51,2807.02,2962.53
Sea Freight,Port of Auckland,Wellington,Pharmaceuticals,Summer,Medium,Complex,13.4,260.6,158.0,1.75,1.33,2.4,0,1,52.4,312.71,6567.78,6880.5
Air Cargo,Port of Tauranga,Tauranga,Bulk,Autumn,Medium,Simple,15.1,382.7,361.0,2.14,2.46,0.6,0,0,0.0,3253.16,0.0,3253.16
Sea Freight,Lyttelton Port,Wellington,Refrigerated,Winter,Low,Simple,22.6,161.3,1080.0,2.01,1.05,3.1,0,0,0.0,193.53,0.0,193.53
Sea Freight,Port of Tauranga,Christchurch,Bulk,Winter,High,Moderate,20.3,253.7,868.0,3.32,2.21,1.4,0,0,0.0,304.41,0.0,304.41
Sea Freight,Port Otago,Hamilton,Pharmaceuticals,Winter,High,Simple,19.7,119.8,486.0,5.19,2.92,3.9,0,0,0.0,143.75,0.0,143.75
Air Cargo,Lyttelton Port,Hamilton,Bulk,Spring,High,Moderate,10.5,643.3,322.0,4.87,0.64,2.5,0,0,0.0,5468.28,0.0,5468.28
Air Cargo,Port Otago,Christchurch,Bulk,Summer,Low,Simple,19.2,158.0,2350.0,6.81,3.06,1.6,1,0,0.0,1343.27,0.0,1343.27
Sea Freight,Lyttelton Port,Dunedin,Pharmaceuticals,Autumn,High,Moderate,10.6,1136.2,2283.0,5.96,0.7,1.2,0,0,0.0,1363.47,0.0,1363.47
Sea Freight,Port of Auckland,Wellington,General Merchandise,Spring,High,Simple,22.4,373.6,1941.0,6.83,4.13,0.8,0,0,0.0,448.26,0.0,448.26
Rail,Port of Auckland,Dunedin,Bulk,Summer,Medium,Simple,13.4,941.9,667.0,1.16,1.26,4.5,0,0,0.0,1695.5,0.0,1695.5
Sea Freight,Port of Auckland,Auckland,Automotive,Summer,Medium,Simple,10.3,1763.2,843.0,3.28,1.07,3.5,0,0,0.0,2115.82,0.0,2115.82
Sea Freight,Port Otago,Auckland,Pharmaceuticals,Summer,Low,Moderate,18.7,122.0,1681.0,2.23,2.21,3.7,2,1,34.6,146.35,5026.48,5172.82
Air Cargo,Lyttelton Port,Auckland,General Merchandise,Winter,Low,Simple,20.2,3657.9,765.0,1.5,0.56,1.9,0,0,0.0,31092.53,0.0,31092.53
Rail,Lyttelton Port,Hamilton,Hazardous,Autumn,Medium,Moderate,15.6,879.1,1350.0,1.35,3.97,0.4,0,0,0.0,1582.31,0.0,1582.31
Sea Freight,Port of Auckland,Wellington,Bulk,Summer,Low,Moderate,21.4,93.9,1646.0,3.12,1.79,0.1,0,0,0.0,112.65,0.0,112.65
Air Cargo,Port of Auckland,Auckland,General Merchandise,Autumn,Medium,Simple,16.0,351.5,1322.0,2.44,0.99,2.5,0,0,0.0,2987.79,0.0,2987.79
Road,Lyttelton Port,Auckland,Bulk,Winter,High,Simple,11.3,1789.0,1063.0,3.23,2.27,0.4,1,0,0.0,3756.83,0.0,3756.83
Sea Freight,Port of Tauranga,Dunedin,General Merchandise,Summer,Low,Simple,15.9,775.5,902.0,3.7,1.03,4.2,0,0,0.0,930.64,0.0,930.64
Road,Port of Auckland,Dunedin,Refrigerated,Autumn,Medium,Simple,16.6,320.9,1955.0,1.44,4.1,7.3,0,0,0.0,673.82,0.0,673.82
Sea Freight,Lyttelton Port,Christchurch,Refrigerated,Winter,Medium,Simple,15.5,2307.4,1861.0,1.23,1.72,1.7,1,0,0.0,2768.82,0.0,2768.82
Air Cargo,Port of Auckland,Christchurch,Hazardous,Spring,Medium,Moderate,9.7,1288.1,1756.0,3.88,2.61,3.5,1,0,0.0,10949.02,0.0,10949.02
Air Cargo,Port of Auckland,Wellington,Refrigerated,Winter,Medium,Complex,27.4,1114.0,968.0,2.65,5.05,1.3,2,1,35.8,9469.41,3807.63,13277.04
